eval_id,osm_unique_name,travel_dir,state,sld_aadt,test_aadt,data_source,SLD_withheld,urban_rural,n_directions
AZ00196,28328510: 1,Both,AZ,109742,115067,TMAS_FHWA,1,rural,2
AZ00198,28329171: 1,Both,AZ,65848,65266,TMAS_FHWA,1,urban,2
AZ00200,119371532: 2,Both,AZ,45578,48132,TMAS_NREL,1,rural,2
AZ00202,170935670: 1,Both,AZ,6336,6270,TMAS_FHWA,1,rural,2
AZ00204,158725726: 4,Both,AZ,36812,35963,TMAS_FHWA,1,urban,2
AZ00208,105459000: 4,Both,AZ,8598,12170,TMAS_FHWA,1,rural,2
AZ00214,16845506: 2,Both,AZ,1273,1629,TMAS_FHWA,1,rural,2
AZ00216,571500958: 38,Both,AZ,2458,1853,TMAS_FHWA,1,rural,2
AZ00218,118035001: 1,Both,AZ,29149,33588,TMAS_FHWA,1,rural,2
AZ00220,119006903: 2,Both,AZ,5406,7824,TMAS_FHWA,1,rural,2
AZ00222,16942419: 39,Both,AZ,3911,5362,TMAS_FHWA,1,rural,2
AZ00224,106737403: 1,Both,AZ,1394,1415,TMAS_FHWA,1,rural,2
AZ00226,59141278: 41,Both,AZ,1564,1083,TMAS_FHWA,1,rural,2
DE01643,40661579: 7,Both,DE,22985,18977,TMAS_FHWA,1,urban,2
DE01644,329572745: 1,NB,DE,9786,9716,TMAS_NREL,1,rural,1
IL00001,58895320: 8,Both,IL,19216,15831,TMAS_FHWA,1,urban,2
IL00003,119962456: 2,Both,IL,7654,6826,TMAS_FHWA,1,rural,2
IL00007,48527595: 3,Both,IL,4167,2798,TMAS_FHWA,1,urban,2
IL00013,83871920: 1,Both,IL,14023,13676,TMAS_FHWA,1,rural,2
IL00015,111702151: 8,Both,IL,19912,19164,TMAS_FHWA,1,urban,2
IL00019,21753724: 2,Both,IL,2743,2640,TMAS_FHWA,1,rural,2
IL00021,293895853: 1,Both,IL,32172,25962,TMAS_FHWA,1,urban,2
IL00123_&_IL00220,NA,NB,IL,42685,36442,IL_Tolls,0,urban,1
IL00124_&_IL00221,NA,SB,IL,39441,32779,IL_Tolls,0,urban,1
IL00125_&_IL00125,NA,SB,IL,9822,7605,IL_Tolls,0,urban,1
IL00126_&_IL00126,NA,NB,IL,11877,9624,IL_Tolls,0,urban,1
IL00127_&_IL00127,NA,NB,IL,4872,3356,IL_Tolls,0,urban,1
IL00128_&_IL00128,NA,SB,IL,5155,3239,IL_Tolls,0,urban,1
IL00129_&_IL00129,NA,WB,IL,2357,1553,IL_Tolls,0,urban,1
IL00131_&_IL00131,NA,EB,IL,5336,3670,IL_Tolls,0,urban,1
IL00132_&_IL00132,NA,WB,IL,5187,3526,IL_Tolls,0,urban,1
IL00133_&_IL00133,NA,WB,IL,10402,7989,IL_Tolls,0,urban,1
IL00134_&_IL00134,NA,EB,IL,9061,7611,IL_Tolls,0,urban,1
IL00135_&_IL00135,NA,EB,IL,5080,4420,IL_Tolls,0,urban,1
IL00136_&_IL00136,NA,WB,IL,9868,8741,IL_Tolls,0,urban,1
IL00137_&_IL00137,NA,SB,IL,9907,7878,IL_Tolls,0,urban,1
IL00138_&_IL00138,NA,NB,IL,18068,6999,IL_Tolls,0,urban,1
IL00139_&_IL00139,NA,EB,IL,3420,2082,IL_Tolls,0,urban,1
IL00140_&_IL00140,NA,WB,IL,9151,2664,IL_Tolls,0,urban,1
IL00141_&_IL00141,NA,SB,IL,8289,5713,IL_Tolls,0,urban,1
IL00142_&_IL00142,NA,NB,IL,13127,5574,IL_Tolls,0,urban,1
IL00143_&_IL00143,NA,SB,IL,11100,8193,IL_Tolls,0,urban,1
IL00144_&_IL00144,NA,NB,IL,11558,8478,IL_Tolls,0,urban,1
IL00145_&_IL00145,NA,SB,IL,10624,7331,IL_Tolls,0,urban,1
IL00146_&_IL00146,NA,NB,IL,10336,7709,IL_Tolls,0,urban,1
IL00147_&_IL00147,NA,SB,IL,8907,6567,IL_Tolls,0,urban,1
IL00148_&_IL00148,NA,NB,IL,8309,5982,IL_Tolls,0,urban,1
IL00149_&_IL00149,NA,EB,IL,6362,4777,IL_Tolls,0,urban,1
IL00150_&_IL00150,NA,WB,IL,6181,4447,IL_Tolls,0,urban,1
IL00151_&_IL00151,NA,EB,IL,4397,3765,IL_Tolls,0,urban,1
IL00152_&_IL00152,NA,WB,IL,4433,3473,IL_Tolls,0,urban,1
IL00154_&_IL00154,NA,WB,IL,11199,8788,IL_Tolls,0,urban,1
IL00155_&_IL00155,NA,SB,IL,11917,8456,IL_Tolls,0,urban,1
IL00156_&_IL00156,NA,NB,IL,11011,8768,IL_Tolls,0,urban,1
IL00157_&_IL00157,NA,SB,IL,10919,8213,IL_Tolls,0,urban,1
IL00158_&_IL00158,NA,NB,IL,9183,7830,IL_Tolls,0,urban,1
IL00159_&_IL00159,NA,SB,IL,31754,8580,IL_Tolls,0,urban,1
IL00160_&_IL00160,NA,SB,IL,8814,7812,IL_Tolls,0,urban,1
IL00161_&_IL00161,NA,NB,IL,10272,8704,IL_Tolls,0,urban,1
IL00162_&_IL00162,NA,WB,IL,13799,14430,IL_Tolls,0,urban,1
IL00163_&_IL00163,NA,WB,IL,10126,12220,IL_Tolls,0,urban,1
